"bahasa","daerah"
"http://id.dbpedia.org/resource/Bahasa_Makassar","http://id.dbpedia.org/resource/Sulawesi_Selatan"
"http://id.dbpedia.org/resource/Bahasa_Sunda","Jawa Barat, Banten, Jakarta, Lampung, wilayah barat Jawa Tengah"
"http://id.dbpedia.org/resource/Bahasa_Asmat-Kamoro","http://id.dbpedia.org/resource/New_Guinea"
"http://id.dbpedia.org/resource/Bahasa_Bakumpai","http://id.dbpedia.org/resource/Kalimantan_Tengah"
"http://id.dbpedia.org/resource/Bahasa_Bakumpai","http://id.dbpedia.org/resource/Kalimantan_Selatan"
"http://id.dbpedia.org/resource/Bahasa_Banjar","Kalimantan Selatan , Malaysia"
"http://id.dbpedia.org/resource/Bahasa_Batak","http://id.dbpedia.org/resource/Indonesia"
"http://id.dbpedia.org/resource/Bahasa_Batak","http://id.dbpedia.org/resource/Sumatra"
"http://id.dbpedia.org/resource/Bahasa_Berau","http://id.dbpedia.org/resource/Kalimantan_Timur"
"http://id.dbpedia.org/resource/Rumpun_bahasa_Borneo_Utara","http://id.dbpedia.org/resource/Sulawesi"
"http://id.dbpedia.org/resource/Rumpun_bahasa_Bungku-Tolaki","http://id.dbpedia.org/resource/Sulawesi"
"http://id.dbpedia.org/resource/Rumpun_bahasa_Bungku-Tolaki","http://id.dbpedia.org/resource/Indonesia"
"http://id.dbpedia.org/resource/Rumpun_bahasa_Sulawesi","http://id.dbpedia.org/resource/Sulawesi"
"http://id.dbpedia.org/resource/Bahasa_Cia-Cia","http://id.dbpedia.org/resource/Pulau_Buton"
"http://id.dbpedia.org/resource/Bahasa_Cia-Cia","http://id.dbpedia.org/resource/Sulawesi"
"http://id.dbpedia.org/resource/Bahasa_Enggano","Pulau Enggano dan 4 pulau kecil di sekitarnya"
"http://id.dbpedia.org/resource/Bahasa_Gayo","Sumatera"
"http://id.dbpedia.org/resource/Rumpun_bahasa_Gorontalo-Mongondow","Gorontalo  dan Sulawesi Utara, Sulawesi"
"http://id.dbpedia.org/resource/Bahasa_Melayu_Jambi","http://id.dbpedia.org/resource/Jambi"
"http://id.dbpedia.org/resource/Bahasa_Jawa","Jawa , Suriname, Kaledonia Baru"
"http://id.dbpedia.org/resource/Rumpun_bahasa_Kaili-Pamona","http://id.dbpedia.org/resource/Sulawesi"
"http://id.dbpedia.org/resource/Rumpun_bahasa_Kaili-Pamona","http://id.dbpedia.org/resource/Indonesia"
"http://id.dbpedia.org/resource/Kata_Kolok","Desa Benkala, Bali Utara"
"http://id.dbpedia.org/resource/Bahasa_Komering","Sepanjang sungai Komering dari danau Ranau hingga dekat Palembang"
"http://id.dbpedia.org/resource/Bahasa_Anus","Asia"
